,0
2021-05-02,1000000.0
2021-05-03,1000000.0
2021-05-04,1000000.0
2021-05-05,1000000.0
2021-05-06,1000000.0
2021-05-07,1000000.0
2021-05-08,1000000.0
2021-05-09,1000000.0
2021-05-10,1000000.0
2021-05-11,1000000.0
2021-05-12,1000000.0
2021-05-13,1000000.0
2021-05-14,1000000.0
2021-05-15,1000000.0
2021-05-16,1000000.0
2021-05-17,1000000.0
2021-05-18,1000000.0
2021-05-19,1000000.0
2021-05-20,1000000.0
2021-05-21,1000000.0
2021-05-22,1000000.0
2021-05-23,1000000.0
2021-05-24,1000000.0
2021-05-25,1000000.0
2021-05-26,1000000.0
2021-05-27,1000000.0
2021-05-28,1000000.0
2021-05-29,1000000.0
2021-05-30,993340.3670164404
2021-05-31,993340.3670164404
2021-06-01,993340.3670164404
2021-06-02,993340.3670164404
2021-06-03,993340.3670164404
2021-06-04,993340.3670164404
2021-06-05,993340.3670164404
2021-06-06,993340.3670164404
2021-06-07,993340.3670164404
2021-06-08,993340.3670164404
2021-06-09,993340.3670164404
2021-06-10,979942.238873259
2021-06-11,979942.238873259
2021-06-12,979942.238873259
2021-06-13,979942.238873259
2021-06-14,971890.7678144705
2021-06-15,971890.7678144705
2021-06-16,971890.7678144705
2021-06-17,971890.7678144705
2021-06-18,971890.7678144705
2021-06-19,971890.7678144705
2021-06-20,971890.7678144705
2021-06-21,971890.7678144705
2021-06-22,966338.1175127323
2021-06-23,966338.1175127323
2021-06-24,959991.2468989128
2021-06-25,959991.2468989128
2021-06-26,959991.2468989128
2021-06-27,959991.2468989128
2021-06-28,959991.2468989128
2021-06-29,959991.2468989128
2021-06-30,959991.2468989128
2021-07-01,959991.2468989128
2021-07-02,959991.2468989128
2021-07-03,959991.2468989128
2021-07-04,959991.2468989128
2021-07-05,943230.7507747116
2021-07-06,943230.7507747116
2021-07-07,943230.7507747116
2021-07-08,943230.7507747116
2021-07-09,943230.7507747116
2021-07-10,943230.7507747116
2021-07-11,943230.7507747116
2021-07-12,943230.7507747116
2021-07-13,934283.7157807633
2021-07-14,934283.7157807633
2021-07-15,934283.7157807633
2021-07-16,934283.7157807633
2021-07-17,934283.7157807633
2021-07-18,913382.5193551902
2021-07-19,913382.5193551902
2021-07-20,900221.4255909418
2021-07-21,900221.4255909418
2021-07-22,900221.4255909418
2021-07-23,900221.4255909418
2021-07-24,895724.6301200633
2021-07-25,895724.6301200633
2021-07-26,895724.6301200633
2021-07-27,895724.6301200633
2021-07-28,895724.6301200633
2021-07-29,895724.6301200633
2021-07-30,895724.6301200633
2021-07-31,895724.6301200633
2021-08-01,895724.6301200633
2021-08-02,895724.6301200633
2021-08-03,895724.6301200633
2021-08-04,895724.6301200633
2021-08-05,895724.6301200633
2021-08-06,895724.6301200633
2021-08-07,895724.6301200633
2021-08-08,895724.6301200633
2021-08-09,890049.1916400372
2021-08-10,890049.1916400372
2021-08-11,890049.1916400372
2021-08-12,890049.1916400372
2021-08-13,890049.1916400372
2021-08-14,884596.195341844
2021-08-15,884596.195341844
2021-08-16,884596.195341844
2021-08-17,884596.195341844
2021-08-18,884596.195341844
2021-08-19,884596.195341844
2021-08-20,884596.195341844
2021-08-21,884596.195341844
2021-08-22,884596.195341844
2021-08-23,884596.195341844
2021-08-24,884596.195341844
2021-08-25,884596.195341844
2021-08-26,884596.195341844
2021-08-27,884596.195341844
2021-08-28,884596.195341844
2021-08-29,884596.195341844
2021-08-30,884596.195341844
2021-08-31,884596.195341844
2021-09-01,884596.195341844
2021-09-02,884596.195341844
2021-09-03,884596.195341844
2021-09-04,884596.195341844
2021-09-05,884596.195341844
2021-09-06,884596.195341844
2021-09-07,884596.195341844
2021-09-08,878561.1116986104
2021-09-09,878561.1116986104
2021-09-10,878561.1116986104
2021-09-11,878561.1116986104
2021-09-12,878561.1116986104
2021-09-13,878561.1116986104
2021-09-14,878561.1116986104
2021-09-15,878561.1116986104
2021-09-16,878561.1116986104
2021-09-17,873379.8663137216
2021-09-18,873379.8663137216
2021-09-19,873379.8663137216
2021-09-20,873379.8663137216
2021-09-21,873379.8663137216
2021-09-22,873379.8663137216
2021-09-23,866489.380720354
2021-09-24,866489.380720354
2021-09-25,866489.380720354
2021-09-26,866489.380720354
2021-09-27,866489.380720354
2021-09-28,866489.380720354
2021-09-29,866489.380720354
2021-09-30,866489.380720354
2021-10-01,866489.380720354
2021-10-02,866489.380720354
2021-10-03,866489.380720354
2021-10-04,866489.380720354
2021-10-05,866489.380720354
2021-10-06,866489.380720354
2021-10-07,866489.380720354
2021-10-08,866489.380720354
2021-10-09,866489.380720354
2021-10-10,866489.380720354
2021-10-11,866489.380720354
2021-10-12,866489.380720354
2021-10-13,866489.380720354
2021-10-14,858499.8138206417
2021-10-15,858499.8138206417
2021-10-16,858499.8138206417
2021-10-17,858499.8138206417
2021-10-18,858499.8138206417
2021-10-19,854457.7058108896
2021-10-20,1000000.0
2021-10-21,1000000.0
2021-10-22,1000000.0
2021-10-23,1000000.0
2021-10-24,1000000.0
2021-10-25,1000000.0
2021-10-26,1000000.0
2021-10-27,1000000.0
